time,tps,users,response,errors,cpu,memory
1713183487000000000,3952.0,20.0,2.8213964703947383,0.0,0.001786279,31690752.0
1713183488000000000,4001.0,22.0,2.7002066243439162,0.0,0.001822406,31690752.0
1713183489000000000,3879.0,10.0,2.910597395204943,0.0,0.001822406,31690752.0
1713183490000000000,3822.0,15.0,3.38510409236002,0.0,0.001822406,31690752.0
1713183491000000000,4015.0,10.0,2.739195589290159,0.0,0.001786279,31690752.0
1713183492000000000,4000.0,11.0,2.8143322177500028,0.0,0.001786279,31690752.0
1713183493000000000,3924.0,13.0,3.62637995310907,0.0,0.001786279,31690752.0
1713183494000000000,3999.0,12.0,2.6970707984496114,0.0,0.001673047,31690752.0
1713183495000000000,3995.0,9.0,2.482228378973718,0.0,0.001673047,31690752.0
1713183496000000000,3976.0,12.0,2.662871865191145,0.0,0.001673047,31690752.0
1713183497000000000,3986.0,7.0,2.8203999438033156,0.0,0.001673047,31690752.0
1713183498000000000,3998.0,7.0,3.045964945972989,0.0,0.001673047,31690752.0
1713183499000000000,4003.0,10.0,2.7428996535098635,0.0,0.001673047,31690752.0
1713183500000000000,3854.0,15.0,3.440841645303581,0.0,0.001822406,31690752.0
1713183501000000000,4001.0,12.0,2.776435998500381,0.0,0.001673047,31690752.0
1713183502000000000,4000.0,10.0,2.717564676500008,0.0,0.001673047,31690752.0
1713183503000000000,3987.0,11.0,3.1747588221720657,0.0,0.001822406,31690752.0
1713183504000000000,3961.0,10.0,3.0558355836909894,0.0,0.036229929,37363712.0
1713183505000000000,4003.0,11.0,2.6565455510866864,0.0,0.0,0.0
1713183506000000000,3994.0,9.0,2.994976640961441,0.0,0.0,0.0
1713183507000000000,3992.0,10.0,3.0132730573647297,0.0,0.0,0.0
1713183508000000000,3999.0,9.0,2.8193429802450636,0.0,0.0,0.0
1713183509000000000,3984.0,9.0,3.1438439337349426,0.0,0.0,0.0
1713183510000000000,3915.0,10.0,3.543083115197964,0.0,0.0,0.0
1713183511000000000,3956.0,11.0,3.122805255308384,0.0,0.0,0.0
1713183512000000000,3998.0,13.0,2.88151846898449,0.0,0.0,0.0
1713183513000000000,4000.0,8.0,2.7830921019999963,0.0,0.0,0.0
1713183514000000000,4001.0,8.0,2.9564646958260403,0.0,0.0,0.0
1713183515000000000,4002.0,13.0,2.8886357553723205,0.0,0.0,0.0
1713183516000000000,3991.0,10.0,3.017778581809071,0.0,0.0,0.0
1713183517000000000,3999.0,8.0,3.0372366584146007,0.0,0.0,0.0
1713183518000000000,4002.0,9.0,2.6608143715642303,0.0,0.0,0.0
1713183519000000000,3999.0,11.0,2.8423054361090183,0.0,0.0,0.0
1713183520000000000,3875.0,12.0,3.4548415181935503,0.0,0.0,0.0
1713183521000000000,3983.0,14.0,2.959108817223199,0.0,0.0,0.0
1713183522000000000,3986.0,11.0,2.6660286618163687,0.0,0.0,0.0
1713183523000000000,3874.0,14.0,3.9535996667526963,0.0,0.0,0.0
1713183524000000000,3995.0,9.0,2.737857728410518,0.0,0.0,0.0
1713183525000000000,4005.0,9.0,3.000762544569292,0.0,0.0,0.0
1713183526000000000,4000.0,9.0,2.85344867875,0.0,0.0,0.0
1713183527000000000,4000.0,10.0,2.7993228892500013,0.0,0.0,0.0
1713183528000000000,3993.0,14.0,2.9325121324818273,0.0,0.0,0.0
1713183529000000000,4007.0,10.0,3.210188369104062,0.0,0.0,0.0
1713183530000000000,3913.0,8.0,3.7090338481983087,0.0,0.0,0.0
1713183531000000000,4008.0,10.0,3.2953170294411263,0.0,0.0,0.0
1713183532000000000,3993.0,8.0,3.0723447575757508,0.0,0.0,0.0
1713183533000000000,4009.0,6.0,2.8000477577949603,0.0,0.0,0.0
1713183534000000000,3972.0,15.0,3.0320483932527704,0.0,0.0,0.0
1713183535000000000,4026.0,14.0,2.990772708395427,0.0,0.0,0.0
1713183536000000000,3958.0,9.0,4.027170264022224,0.0,0.0,0.0
1713183537000000000,4000.0,9.0,3.0140790020000012,0.0,0.0,0.0
1713183538000000000,4000.0,8.0,3.2317914027499968,0.0,0.0,0.0
1713183539000000000,3949.0,10.0,4.123417545960995,0.0,0.0,0.0
1713183540000000000,3979.0,9.0,4.331994802714241,0.0,0.0,0.0
1713183541000000000,3946.0,10.0,4.815072951849989,0.0,0.0,0.0
1713183542000000000,4001.0,10.0,3.6257018195451063,0.0,0.0,0.0
1713183543000000000,4005.0,11.0,3.2432157530586876,0.0,0.0,0.0
1713183544000000000,4000.0,10.0,3.0126862922499975,0.0,0.0,0.0
1713183545000000000,3997.0,11.0,2.835619498874161,0.0,0.0,0.0
1713183546000000000,4002.0,8.0,2.9977586264367675,0.0,0.0,0.0
1713183547000000000,3992.0,10.0,3.8618810470941916,0.0,0.0,0.0
1713183548000000000,4008.0,10.0,3.1720973295908155,0.0,0.0,0.0
1713183549000000000,3997.0,11.0,3.215452892669508,0.0,0.0,0.0
1713183550000000000,3933.0,9.0,4.143148496821771,0.0,0.0,0.0
1713183551000000000,3999.0,10.0,3.3503128467116743,0.0,0.0,0.0
1713183552000000000,4000.0,9.0,3.0448615727499972,0.0,0.0,0.0
1713183553000000000,3939.0,3.0,3.6210866661589254,0.0,0.0,0.0
1713183554000000000,3998.0,16.0,2.8945368179089495,0.0,0.0,0.0
1713183555000000000,4001.0,14.0,3.3608299015246232,0.0,0.0,0.0
1713183556000000000,4001.0,9.0,3.0393139872531854,0.0,0.0,0.0
1713183557000000000,4000.0,10.0,3.0049494400000043,0.0,0.0,0.0
1713183558000000000,3999.0,10.0,3.2362958777194333,0.0,0.0,0.0
1713183559000000000,4000.0,17.0,3.52065965875,0.0,0.0,0.0
1713183560000000000,3968.0,6.0,4.2162966902721895,0.0,0.0,0.0
1713183561000000000,3976.0,9.0,4.082898661971833,0.0,0.0,0.0
1713183562000000000,3998.0,14.0,2.8486645427713877,0.0,0.0,0.0
1713183563000000000,3998.0,10.0,4.5993289307153615,0.0,0.0,0.0
1713183564000000000,4001.0,11.0,2.932442372906771,0.0,0.0,0.0
1713183565000000000,4002.0,8.0,2.882225129185405,0.0,0.0,0.0
1713183566000000000,3999.0,9.0,2.971277700675161,0.0,0.0,0.0
1713183567000000000,3994.0,9.0,3.2295263980971503,0.0,0.0,0.0
1713183568000000000,4004.0,9.0,2.8972584158341714,0.0,0.0,0.0
1713183569000000000,4000.0,10.0,3.1269292292500026,0.0,0.0,0.0
