time,tps,users,response,errors,cpu,memory
1713086841000000000,20,3,227.44345463733256,0.0,0.01825399650162475,427324848
1713086842000000000,20,2,227.44345463733256,0.0,0.01825399650162475,427324848
1713086844000000000,20,1,121.05769205222187,0.0,0.01825399650162475,427324848
1713086845000000000,20,2,123.6513157020759,0.0,0.01876062569349409,427324848
1713086846000000000,19,1,103.3672768429707,0.0,0.01876062569349409,427324848
1713086847000000000,20,2,104.28328375143609,0.0,0.01876062569349409,427324848
1713086848000000000,19,2,122.82135613412262,0.0,0.01876062569349409,427324848
1713086851000000000,20,2,123.02884602611093,0.0,0.01876062569349409,427324848
1713086852000000000,20,1,123.61673405341118,0.0,0.01876062569349409,427324848
1713086853000000000,20,2,122.92510108011679,0.0,0.01876062569349409,427324848
1713086854000000000,19,2,122.92510108011679,0.0,0.01876062569349409,427324848
1713086855000000000,20,2,112.72281470180998,0.0,0.01876062569349409,427324848
1713086857000000000,19,2,113.76929458613562,0.0,0.01876062569349409,427324848
1713086858000000000,19,2,113.76929458613562,0.0,0.01876062569349409,427324848
1713086859000000000,19,2,134.16390793235732,0.0,0.01876062569349409,427324848
1713086860000000000,19,2,132.0143492815575,0.0,0.01876062569349409,427324848
1713086861000000000,19,2,122.92510108011679,0.0,0.01876062569349409,427324848
1713086862000000000,20,2,123.91067806706131,0.0,0.01876062569349409,427324848
1713086863000000000,19,1,173.84234510358473,0.0,0.01876062569349409,427324848
1713086864000000000,19,2,173.98906261323734,0.0,0.01876062569349409,427324848
1713086865000000000,20,2,122.82135613412262,0.0,0.9933844756879453,426187273
1713086866000000000,19,1,104.2396643748425,0.0,0.9933844756879453,426187273
1713086867000000000,18,2,146.30677904482536,0.0,0.9933844756879453,426187273
1713086870000000000,19,2,132.0143492815575,0.0,0.9933844756879453,426187273
1713086871000000000,20,2,146.30677904482536,0.0,0.9933844756879453,426187273
1713086872000000000,20,2,133.93763860069419,0.0,0.9933844756879453,426187273
1713086874000000000,20,2,123.96255054005839,0.0,0.9933844756879453,426187273
1713086875000000000,20,1,131.78807994989432,0.0,1.280183113765942,445877004
1713086876000000000,20,2,123.96255054005839,0.0,1.280183113765942,445877004
1713086879000000000,19,2,170.9079949105326,0.0,1.280183113765942,445877004
1713086880000000000,19,1,114.02298667930548,0.0,1.280183113765942,445877004
1713086881000000000,19,2,246.2651819442102,0.0,1.280183113765942,445877004
1713086882000000000,20,2,241.90789421245543,0.0,1.280183113765942,445877004
1713086885000000000,19,1,574.8636810338679,0.0,1.280183113765942,445877004
1713086886000000000,19,3,112.91308377168737,0.0,1.280183113765942,445877004
